name,uri,genres,albums,tracks,last_album_date,first_album_date,popularity,followers,playlist_count,spotify_url,image_320,lastfm_listeners,lastfm_playcount,personal_playcount,lastfm_tags,summary,tour_status,tour_date,tour_coperformers,festival_coperformers
spiritbox,spotify:artist:4MzJMcHQBl9SIYSjwWn8QW,"['metalcore', 'djent', 'metal']",2,23,2025-03-07,2021-09-17,69,931958,6,https://open.spotify.com/artist/4MzJMcHQBl9SIYSjwWn8QW,https://i.scdn.co/image/ab67616100005174501369c8b24b71bb2dcca603,428359,33838045,2748,"['metalcore', 'Progressive Metalcore', 'DJENT', 'Progressive metal', 'alternative metal']","Spiritbox is a Canadian alternative metal/djent band from Victoria, British Columbia, formed in 2017. Having toured the world as members of the eccentrically iconic metal band iwrestledabearonce, vocalist Courtney LaPlante (a member of IWABO since 2012) and guitarist Michael Stringer (a member since 2015) wanted to take their intensely personal and technical musical focus in a new creative and personal direction. This now-husband-and-wife team have worked extremely hard at incorporating Courtney’s sense of vocal style and lyrical quality <a href=""https://www.last.fm/music/SpiritBox"">Read more on Last.fm</a>",upcoming_tour,2025-11-12,"{'periphery', 'spiritbox', 'honey revenge'}","Counter({'slayer': 1, 'avenged sevenfold': 1, 'deftones': 1, 'lamb of god': 1, 'breaking benjamin': 1, 'a perfect circle': 1, 'evanescence': 1, 'down': 1, 'mudvayne': 1, 'stone temple pilots': 1, 'knocked loose': 1, 'cavalera': 1, 'insane clown posse': 1, 'acid bath': 1, 'slaughter to prevail': 1, 'carcass': 1, 'municipal waste': 1, 'winds of plague': 1, 'static-x': 1, 'dope': 1, 'nonpoint': 1, 'failure': 1, 'superheaven': 1, 'quannnic': 1, 'bilmuri': 1, 'memphis may fire': 1, 'escape the fate': 1, 'rob zombie': 1, 'sleep token': 1, 'bad omens': 1, 'uicideboy': 1, 'marilyn manson': 1, 'spiritbox': 1, 'i prevail': 1, 'three days grace': 1, 'cannibal corpse': 1, 'dayseeker': 1, 'motionless in white': 1, 'wage war': 1, 'exodus': 1, 'black veil brides': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fear factory': 1, 'fulci': 1, 'imminence': 1, 'northlane': 1, 'violent vira': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'return to dust': 1, 'tech n9ne': 1, 'the plot in you': 1, 'sleep theory': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'left to suffer': 1, 'not enough space': 1, 'all time low': 1, 'hollywood undead': 1, 'story of the year': 1, 'of mice & men': 1, 'magnolia park': 1, 'the red jumpsuit apparatus': 1, 'hot milk': 1, 'trivium': 1, 'machine head': 1, 'chimaira': 1, 'august burns red': 1, 'devildriver': 1, 'spiritworld': 1, 'disembodied tyrant': 1, 'flyleaf': 1, 'hinder': 1, 'crossfade': 1, '10 years': 1, 'rev theory': 1, '12 stones': 1, 'the story so far': 1, 'dream theater': 1, 'cypress hill': 1, 'bruce dickinson': 1, 'from ashes to new': 1, 'hatebreed': 1, 'the dillinger escape plan': 1, 'neck deep': 1, 'powerwolf': 1, 'kittie': 1, 'testament': 1, 'state champs': 1, 'drain': 1, 'scowl': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'alestorm': 1, 'demon hunter': 1, 'gloryhammer': 1, 'liliac': 1, 'stabbing westward': 1, 'spineshank': 1, 'snot': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'yngwie malmsteen': 1, 'set it off': 1, 'catch your breath': 1, 'landmvrks': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'thrown': 1, 'walls of jericho': 1, 'thornhill': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack': 1, 'woe, is me': 1})"
waterparks,spotify:artist:3QaxveoTiMetZCMp1sftiu,['pop punk'],6,86,2023-10-11,2016-11-03,59,541687,13,https://open.spotify.com/artist/3QaxveoTiMetZCMp1sftiu,https://i.scdn.co/image/ab676161000051747ee8357ca6f41c9ab8f453a9,573077,60371094,8611,"['pop punk', 'seen live', 'pop rock', 'rock', 'electronic']","Waterparks is an American rock band formed in Houston, Texas in 2011. The group currently consists of lead vocalist and rhythm guitarist Awsten Knight, backing vocalist and guitarist Geoff Wigington, and drummer Otto Wood.

The band has released three EPs, two of which (Airplane Conversations & Black Light)  were released independently with one released via Equal Vision (Cluster). Additionally, the band has released five studio albums (Double Dare, Entertainment, FANDOM, Greatest Hits and INTELLECUAL PROPERTY). <a href=""https://www.last.fm/music/Waterparks"">Read more on Last.fm</a>",not_touring,,set(),"Counter({'travis scott': 2, 'sammy virji': 2, 'trippie redd': 2, 'amyl and the sniffers': 2, 'antony szmierek': 2, 'the dare': 2, 'dj ez': 2, ""girls don't sync"": 2, 'good kid': 2, 'lancey foux': 2, 'luvcat': 2, 'nieve ella': 2, 'sea girls': 2, 'songer': 2, 'd-block europe': 2, 'aviva': 2, 'balu brigada': 2, 'matilda mann': 2, 'nell mescal': 2, 'suki waterhouse': 2, 'del water gap': 2, 'waterparks': 2, 'demae': 2, 'late night drive home': 2, 'skye newman': 2, 'bartees strange': 2, 'p-rallel': 1, 'leigh-anne pinnock': 1, 'lyvia': 1, 'amie blu': 1, 'disrupta': 1, ""jaackmaate's happy hour live"": 1})"
thornhill,spotify:artist:2dE5audbkV3o5cKxvM7lBD,"['metalcore', 'djent']",5,59,2025-04-04,2019-10-25,57,162331,11,https://open.spotify.com/artist/2dE5audbkV3o5cKxvM7lBD,https://i.scdn.co/image/ab676161000051741b292d70780f166fd776b295,161321,10590713,588,"['metalcore', 'alternative metal', 'Progressive Metalcore', 'australian', 'Progressive metal']","After the band – comprising of Jacob Charlton (vocals), Ethan McCann (guitar), Ben Maida (drums), Nick Sjogren (bass) and Matt Van Duppen (guitar) – graduated from high school, Thornhill played their first show with Hellions. As a collective, they were only three months old at the time, but they grew rapidly from there, finding themselves on triple j rotation and scoring Unearthed Feature Artist in November 2017. <a href=""https://www.last.fm/music/Thornhill"">Read more on Last.fm</a>",upcoming_tour,2025-09-14,"{'bloom', 'resolve', 'ocean grove', 'silly goose', 'thornhill', 'landmvrks'}","Counter({'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'knocked loose': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'bad omens': 2, 'marilyn manson': 2, 'three days grace': 2, 'dayseeker': 2, 'motionless in white': 2, 'exodus': 2, 'black veil brides': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'the plot in you': 2, 'sleep theory': 2, 'left to suffer': 2, 'all time low': 2, 'hollywood undead': 2, 'story of the year': 2, 'of mice & men': 2, 'the red jumpsuit apparatus': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'thornhill': 2, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, 'uicideboy': 1, 'spiritbox': 1, 'i prevail': 1, 'cannibal corpse': 1, 'wage war': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'the story so far': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack': 1, 'woe, is me': 1, 'blink-182': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'taking back sunday': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1})"
bad omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,['metalcore'],6,83,2024-05-31,2016-08-19,75,1779686,15,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V,https://i.scdn.co/image/ab676161000051743a62c74a31a446406a033926,609795,60565781,11770,"['metalcore', 'post-hardcore', 'alternative metal', 'metal', 'seen live']","Bad Omens is an American metal band formed in 2015 in Richmond, Virginia by vocalist and producer Noah Sebastian, (then) guitarist Nicholas Ruffilo and bassist Vincent Riquier.

The current lineup of the band includes: Noah Sebastian (lead vocals, programming), Nicholas Ruffilo (bass, backing vocals), Joakim Karlsson (lead guitar, programming, backing vocals and rythm guitar) and Nick Folio (drums and percussions).

History
The first idea to form the band came in 2013 when Noah Sebastian, then guitarist of a Washington D. <a href=""https://www.last.fm/music/Bad+Omens"">Read more on Last.fm</a>",not_touring,,set(),"Counter({'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'knocked loose': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'bad omens': 2, 'marilyn manson': 2, 'three days grace': 2, 'dayseeker': 2, 'motionless in white': 2, 'exodus': 2, 'black veil brides': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'the plot in you': 2, 'sleep theory': 2, 'left to suffer': 2, 'all time low': 2, 'hollywood undead': 2, 'story of the year': 2, 'of mice & men': 2, 'the red jumpsuit apparatus': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'thornhill': 2, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, 'uicideboy': 1, 'spiritbox': 1, 'i prevail': 1, 'cannibal corpse': 1, 'wage war': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'the story so far': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack': 1, 'woe, is me': 1, 'blink-182': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'taking back sunday': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1})"
kerry king,spotify:artist:6r1McS7CU46TsVEh1ckGuH,['thrash metal'],1,13,2024-05-17,2024-05-17,39,69521,0,https://open.spotify.com/artist/6r1McS7CU46TsVEh1ckGuH,https://i.scdn.co/image/ab67616d00001e022114803abc61426dfdc3b7c3,28792,364387,0,"['thrash metal', 'metal', 'bad ass mother fucker', 'guitar god', 'heavy metal']","Kerry King (born June 3, 1964 in Los Angeles, California) is best known for his work as a guitarist in the thrash metal band Slayer.

Over the years, Kerry King's guitar style has remained the same, giving him a very distinctive sound. On earlier Slayer albums up to and including South of Heaven his playing focused more on speed and chaos than melody. However, in his post-Seasons In The Abyss work, Kerry has managed to capture more feel to his guitar work, showcasing more diverse and melodic styles. <a href=""https://www.last.fm/music/Kerry+King"">Read more on Last.fm</a>",upcoming_tour,2025-08-12,set(),Counter()
cattle decapitation,spotify:artist:67ZMMtA88DDO0gTuRrzGjn,"['death metal', 'grindcore', 'deathcore', 'metal']",13,184,2023-05-12,1999-04-08,48,269231,0,https://open.spotify.com/artist/67ZMMtA88DDO0gTuRrzGjn,https://i.scdn.co/image/ab67616100005174f2ae1471cfed8773fd7160aa,200498,11329572,0,"['grindcore', 'death metal', 'deathgrind', 'Brutal Death Metal', 'goregrind']","Cattle Decapitation is an American deathgrind band from San Diego, California.

Originally founded in 1996, Cattle Decapitation's songs protest the mistreatment and consumption of animals as well as the abuse of the environment. Lyrics may also focus on subjects such as misanthropy and genocide  of the human race. Much of their music is based on putting humans in the situations that animals are subjected to (animal testing, slaughter, etc). 

Their 2002 album To Serve Man saw controversy in Germany <a href=""https://www.last.fm/music/Cattle+Decapitation"">Read more on Last.fm</a>",not_touring,,set(),Counter()
if not for me,spotify:artist:5aqpMOXNPtkxwT7jWuE9Vd,['metalcore'],2,24,2024-03-29,2022-12-16,49,55832,0,https://open.spotify.com/artist/5aqpMOXNPtkxwT7jWuE9Vd,https://i.scdn.co/image/ab6761610000517471b30f75d49881d4caa01ad6,45617,734668,209,"['metalcore', 'post-hardcore', 'metal', 'seen live', 'american']","If Not for Me is an American metalcore band formed around 2015 in Harrisburg, Pennsylvania. It currently consists of: Patrick Glover (vocals), Hayden Calhoun (guitar), Zac Allen (bass) and Cody Frain (drums). <a href=""https://www.last.fm/music/If+Not+for+Me"">Read more on Last.fm</a>",not_touring,,set(),Counter()
blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,"['pop punk', 'punk', 'rock', 'skate punk', 'emo']",13,226,2024-09-06,1994,80,9092125,0,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,https://i.scdn.co/image/ab676161000051745da36f8b98dd965336a1507a,4408864,286852608,35,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']","Blink-182 are an American punk rock band formed in Poway, California, in 1992. Their current and best-known lineup consists of bassist/vocalist Mark Hoppus, guitarist/vocalist Tom DeLonge, and drummer Travis Barker.

After years of independent recording and touring, including stints on the Warped Tour, the group signed to MCA Records. Their biggest albums, Enema of the State (1999) and Take Off Your Pants and Jacket (2001), saw international success. <a href=""https://www.last.fm/music/blink-182"">Read more on Last.fm</a>",on_tour,2025-07-10,set(),Counter()
allt,spotify:artist:6YRr0btzGqfQ5K7r23qjEM,"['djent', 'metalcore', 'deathcore', 'progressive metal']",1,10,2024-10-04,2024-10-04,45,51764,0,https://open.spotify.com/artist/6YRr0btzGqfQ5K7r23qjEM,https://i.scdn.co/image/ab67616100005174ce4c1d329bd643bd260c376b,46633,1440389,0,"['metalcore', 'Progressive Metalcore', 'DJENT', 'thall', 'Progressive metal']","Allt is everything. <a href=""https://www.last.fm/music/Allt"">Read more on Last.fm</a>",not_touring,,set(),Counter()
mom jeans,spotify:artist:6PsktPFR0UZptKdSqmlS5h,"['midwest emo', 'emo', 'indie punk', 'math rock']",4,49,2023-11-17,2016-07-03,65,510816,0,https://open.spotify.com/artist/6PsktPFR0UZptKdSqmlS5h,https://i.scdn.co/image/ab676161000051747d4646f6e709c496e3aac9dd,1924,25644,0,"['seen live', 'indie', 'emo', 'female vocalists', 'under 2000 listeners']"," <a href=""https://www.last.fm/music/Mom+Jeans"">Read more on Last.fm</a>",on_tour,2025-07-27,set(),Counter()
