name,uri,genres,albums,tracks,last_album_date,first_album_date,popularity,followers,playlist_count,spotify_url,image_320,lastfm_listeners,lastfm_playcount,personal_playcount,lastfm_tags,summary,tour_status,tour_date,tour_coperformers,festival_coperformers
thornhill,spotify:artist:2dE5audbkV3o5cKxvM7lBD,"['metalcore', 'djent']",5,59,2025-04-04,2019-10-25,57,162722,11,https://open.spotify.com/artist/2dE5audbkV3o5cKxvM7lBD,https://i.scdn.co/image/ab676161000051741b292d70780f166fd776b295,161939,10645176,672,"['metalcore', 'alternative metal', 'Progressive Metalcore', 'australian', 'Progressive metal']","After the band – comprising of Jacob Charlton (vocals), Ethan McCann (guitar), Ben Maida (drums), Nick Sjogren (bass) and Matt Van Duppen (guitar) – graduated from high school, Thornhill played their first show with Hellions. As a collective, they were only three months old at the time, but they grew rapidly from there, finding themselves on triple j rotation and scoring Unearthed Feature Artist in November 2017. <a href=""https://www.last.fm/music/Thornhill"">Read more on Last.fm</a>",upcoming_tour,2025-10-11,"{'silly goose', 'landmvrks', 'ocean grove', 'resolve'}","Counter({'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'knocked loose': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'bad omens': 2, 'marilyn manson': 2, 'three days grace': 2, 'dayseeker': 2, 'motionless in white': 2, 'exodus': 2, 'black veil brides': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'the plot in you': 2, 'sleep theory': 2, 'left to suffer': 2, 'all time low': 2, 'hollywood undead': 2, 'story of the year': 2, 'of mice & men': 2, 'the red jumpsuit apparatus': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'louder than life': 1, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, '$uicideboy$': 1, 'spiritbox': 1, 'i prevail': 1, 'cannibal corpse': 1, 'wage war': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'the story so far': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack!': 1, 'woe, is me': 1, 'aftershock': 1, 'blink-182': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'taking back sunday': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1})"
bad omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,['metalcore'],6,83,2024-05-31,2016-08-19,75,1783958,15,https://open.spotify.com/artist/3Ri4H12KFyu98LMjSoij5V,https://i.scdn.co/image/ab676161000051743a62c74a31a446406a033926,611130,60725504,11810,"['metalcore', 'post-hardcore', 'alternative metal', 'metal', 'seen live']","Bad Omens are an American metal band formed in 2015 in Richmond, Virginia by vocalist and producer Noah Sebastian, (then) guitarist Nicholas Ruffilo and bassist Vincent Riquier.

The current lineup of the band includes: Noah Sebastian (lead vocals, programming), Nicholas Ruffilo (bass, backing vocals), Joakim Karlsson (lead guitar, programming, backing vocals and rythm guitar) and Nick Folio (drums and percussions).

History
The first idea to form the band came in 2013 when Noah Sebastian, then guitarist of a Washington D. <a href=""https://www.last.fm/music/Bad+Omens"">Read more on Last.fm</a>",not_touring,,set(),"Counter({'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'knocked loose': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'marilyn manson': 2, 'three days grace': 2, 'dayseeker': 2, 'motionless in white': 2, 'exodus': 2, 'black veil brides': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'the plot in you': 2, 'sleep theory': 2, 'left to suffer': 2, 'all time low': 2, 'hollywood undead': 2, 'story of the year': 2, 'of mice & men': 2, 'the red jumpsuit apparatus': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'thornhill': 2, 'louder than life': 1, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, '$uicideboy$': 1, 'spiritbox': 1, 'i prevail': 1, 'cannibal corpse': 1, 'wage war': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'the story so far': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack!': 1, 'woe, is me': 1, 'aftershock': 1, 'blink-182': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'taking back sunday': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1})"
waterparks,spotify:artist:3QaxveoTiMetZCMp1sftiu,['pop punk'],6,86,2023-10-11,2016-11-03,59,542052,13,https://open.spotify.com/artist/3QaxveoTiMetZCMp1sftiu,https://i.scdn.co/image/ab676161000051747ee8357ca6f41c9ab8f453a9,573548,60445414,8611,"['pop punk', 'seen live', 'pop rock', 'rock', 'electronic']","Waterparks is an American rock band formed in Houston, Texas in 2011. The group currently consists of lead vocalist and rhythm guitarist Awsten Knight, backing vocalist and guitarist Geoff Wigington, and drummer Otto Wood.

The band has released three EPs, two of which (Airplane Conversations & Black Light)  were released independently with one released via Equal Vision (Cluster). Additionally, the band has released five studio albums (Double Dare, Entertainment, FANDOM, Greatest Hits and INTELLECUAL PROPERTY). <a href=""https://www.last.fm/music/Waterparks"">Read more on Last.fm</a>",not_touring,,set(),"Counter({'travis scott': 2, 'sammy virji': 2, 'trippie redd': 2, 'amyl and the sniffers': 2, 'antony szmierek': 2, 'the dare': 2, 'dj ez': 2, ""girls don't sync"": 2, 'good kid': 2, 'lancey foux': 2, 'luvcat': 2, 'nieve ella': 2, 'sea girls': 2, 'songer': 2, 'd-block europe': 2, 'aviva': 2, 'balu brigada': 2, 'matilda mann': 2, 'nell mescal': 2, 'suki waterhouse': 2, 'del water gap': 2, 'demae': 2, 'late night drive home': 2, 'skye newman': 2, 'bartees strange': 2, 'leeds festival': 1, 'p-rallel': 1, 'reading festival': 1, 'leigh-anne pinnock': 1, 'lyvia': 1, 'amie blu': 1, 'disrupta': 1, ""jaackmaate's happy hour live"": 1})"
spiritbox,spotify:artist:4MzJMcHQBl9SIYSjwWn8QW,"['metalcore', 'djent', 'metal']",2,23,2025-03-07,2021-09-17,69,934446,6,https://open.spotify.com/artist/4MzJMcHQBl9SIYSjwWn8QW,https://i.scdn.co/image/ab67616100005174501369c8b24b71bb2dcca603,429503,33967101,2760,"['metalcore', 'Progressive Metalcore', 'DJENT', 'Progressive metal', 'alternative metal']","Spiritbox are a Canadian alternative metal/djent band from Victoria, British Columbia, formed in 2017. Having toured the world as members of the eccentrically iconic metal band iwrestledabearonce, vocalist Courtney LaPlante (a member of IWABO since 2012) and guitarist Michael Stringer (a member since 2015) wanted to take their intensely personal and technical musical focus in a new creative and personal direction. This now-husband-and-wife team have worked extremely hard at incorporating Courtney’s sense of vocal style and lyrical quality <a href=""https://www.last.fm/music/SpiritBox"">Read more on Last.fm</a>",upcoming_tour,2025-12-07,"{'honey revenge', 'periphery'}","Counter({'louder than life': 1, 'slayer': 1, 'avenged sevenfold': 1, 'deftones': 1, 'lamb of god': 1, 'breaking benjamin': 1, 'a perfect circle': 1, 'evanescence': 1, 'down': 1, 'mudvayne': 1, 'stone temple pilots': 1, 'knocked loose': 1, 'cavalera': 1, 'insane clown posse': 1, 'acid bath': 1, 'slaughter to prevail': 1, 'carcass': 1, 'municipal waste': 1, 'winds of plague': 1, 'static-x': 1, 'dope': 1, 'nonpoint': 1, 'failure': 1, 'superheaven': 1, 'quannnic': 1, 'bilmuri': 1, 'memphis may fire': 1, 'escape the fate': 1, 'rob zombie': 1, 'sleep token': 1, 'bad omens': 1, '$uicideboy$': 1, 'marilyn manson': 1, 'i prevail': 1, 'three days grace': 1, 'cannibal corpse': 1, 'dayseeker': 1, 'motionless in white': 1, 'wage war': 1, 'exodus': 1, 'black veil brides': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fear factory': 1, 'fulci': 1, 'imminence': 1, 'northlane': 1, 'violent vira': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'return to dust': 1, 'tech n9ne': 1, 'the plot in you': 1, 'sleep theory': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'left to suffer': 1, 'not enough space': 1, 'all time low': 1, 'hollywood undead': 1, 'story of the year': 1, 'of mice & men': 1, 'magnolia park': 1, 'the red jumpsuit apparatus': 1, 'hot milk': 1, 'trivium': 1, 'machine head': 1, 'chimaira': 1, 'august burns red': 1, 'devildriver': 1, 'spiritworld': 1, 'disembodied tyrant': 1, 'flyleaf': 1, 'hinder': 1, 'crossfade': 1, '10 years': 1, 'rev theory': 1, '12 stones': 1, 'the story so far': 1, 'dream theater': 1, 'cypress hill': 1, 'bruce dickinson': 1, 'from ashes to new': 1, 'hatebreed': 1, 'the dillinger escape plan': 1, 'neck deep': 1, 'powerwolf': 1, 'kittie': 1, 'testament': 1, 'state champs': 1, 'drain': 1, 'scowl': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'alestorm': 1, 'demon hunter': 1, 'gloryhammer': 1, 'liliac': 1, 'stabbing westward': 1, 'spineshank': 1, 'snot': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'yngwie malmsteen': 1, 'set it off': 1, 'catch your breath': 1, 'landmvrks': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'thrown': 1, 'walls of jericho': 1, 'thornhill': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack!': 1, 'woe, is me': 1})"
dying wish,spotify:artist:4igS2MSwOIf3F9YeL929IO,"['metalcore', 'deathcore', 'hardcore']",3,29,2023-11-03,2018-11-23,47,99006,0,https://open.spotify.com/artist/4igS2MSwOIf3F9YeL929IO,https://i.scdn.co/image/ab67616100005174abe0ca97d45e4bb8904023ed,91060,2990285,0,"['metalcore', 'hardcore', 'Melodic Death Metal', 'metallic hardcore', 'seen live']","1) Dying Wish is an American metalcore/hardcore band originating from Portland, Oregon. The band was formed in 2018 and consists of vocalist Emma Boster, guitarists Pedro Carrillo and Sam Reynolds, bassist Jon Mackey, and drummer Jeff Yambra. Former bassist Andrew Le departed the band in 2023, and Jon Mackey joined as his replacement.

The band's inception occurred during a basement show hosted by Creeping Death in 2018. Their first demo, titled ""Dying Wish,"" featured three tracks and was released on June 25, 2018. <a href=""https://www.last.fm/music/Dying+Wish"">Read more on Last.fm</a>",upcoming_tour,2025-10-06,set(),Counter()
bartees strange,spotify:artist:6Gl4Q3ePw6HKMfIOix5QpG,[],6,64,2025-02-14,2020-10-02,39,57810,0,https://open.spotify.com/artist/6Gl4Q3ePw6HKMfIOix5QpG,https://i.scdn.co/image/ab676161000051746021448be3b9837c98bcd1ff,136434,1861278,0,"['seen live', 'indie rock', 'singer-songwriter', 'rock', 'british']","Bartees Leon Cox Jr., known by his stage name Bartees Strange is a producer and songwriter based in Washington, D.C. 

He was Born in Ipswich, England, but raised  in Mustang, Oklahoma. His mother is an opera singer. His dad served in the military for decades. He traveled widely for his parents jobs - born in Ipswich, England 1989, his family did stints in Germany, Greenland, and a number of states across America before he hit his 12th birthday when they settled down in Mustang, Oklahoma.  <a href=""https://www.last.fm/music/Bartees+Strange"">Read more on Last.fm</a>",upcoming_tour,2025-08-15,set(),Counter()
stone temple pilots,spotify:artist:2UazAtjfzqBF0Nho2awK4z,"['grunge', 'alternative rock', 'post-grunge', 'rock']",11,227,2021-07-23,1992-09-29,72,3881693,0,https://open.spotify.com/artist/2UazAtjfzqBF0Nho2awK4z,https://i.scdn.co/image/ab676161000051744bb64f87db255d76538b905f,2207805,57604920,0,"['Grunge', 'rock', 'alternative rock', 'alternative', '90s']","Stone Temple Pilots (also known by STP) are an American grunge band from San Diego, California, that originally consisted of Scott Weiland (lead vocals), brothers Dean (guitar) and Robert DeLeo (bass, backing vocals), and Eric Kretz (drums). The band's lineup remained unchanged from its formation in 1989 until the firing of Weiland in February 2013. Linkin Park vocalist Chester Bennington joined the band in May 2013 but left amicably in November 2015. <a href=""https://www.last.fm/music/Stone+Temple+Pilots"">Read more on Last.fm</a>",upcoming_tour,2025-08-30,set(),Counter()
stand atlantic,spotify:artist:1W2Fv4YUnjC8hx2qQd6fGh,['pop punk'],5,69,2025-05-16,2018-10-26,55,246993,0,https://open.spotify.com/artist/1W2Fv4YUnjC8hx2qQd6fGh,https://i.scdn.co/image/ab6761610000517442752738f909927572dfa62f,238147,9654357,0,"['pop punk', 'seen live', 'australian', 'rock', 'female vocalists']","Stand Atlantic are an Australian pop punk band from Sydney, formed in 2012. The band consists of vocalist/guitarist Bonnie Fraser, guitarist David Potter, bassist Miki Rich, and drummer Jonno Panichi.

Stand Atlantic gained prominence in the Australian music scene with the release of their demo EPs, Catalyst (2013) and A Place Apart (2015). The band signed with Rude Records in 2017 and released the single ""Coffee at Midnight"", which landed them positive reviews. <a href=""https://www.last.fm/music/Stand+Atlantic"">Read more on Last.fm</a>",upcoming_tour,2025-10-12,set(),Counter()
bring me the horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,"['metalcore', 'emo', 'screamo', 'rock', 'post-hardcore']",12,165,2025-07-11,2006-10-30,80,6479878,0,https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF,https://i.scdn.co/image/ab67616100005174e7c9399d0b5d813c20cbec65,2465079,263036374,267,"['deathcore', 'metalcore', 'hardcore', 'screamo', 'metal']","Bring Me the Horizon are a British metalcore band formed in Sheffield, England, in 2004. The group currently consists of lead vocalist Oli Sykes, drummer Matt Nicholls, guitarist Lee Malia, and bassist Matt Kean. They are signed to RCA Records globally and to Columbia Records in the United States.

The band released its debut album ""Count Your Blessings"" in 2006. The album featured a deathcore style that received mixed reactions and generally unfavorable reviews from critics. <a href=""https://www.last.fm/music/Bring+Me+the+Horizon"">Read more on Last.fm</a>",upcoming_tour,2025-10-03,set(),Counter()
fit for a king,spotify:artist:0OgdRTPItr9dw4XYp4JJUx,"['metalcore', 'christian rock', 'deathcore', 'metal', 'djent', 'post-hardcore']",7,77,2022-10-28,2013-06-01,60,461945,0,https://open.spotify.com/artist/0OgdRTPItr9dw4XYp4JJUx,https://i.scdn.co/image/ab676161000051742e18d7b4b0e73755b6a905b1,210911,9405418,0,"['metalcore', 'post-hardcore', 'christian', 'hardcore', 'screamo']","Fit For A King are a post-hardcore (earlier material/metalcore (later material) band from Dallas, Texas, United States formed in 2007. The band comprises vocalist Ryan Kirby, bassist-vocalist Ryan ""Tuck"" O'Leary, guitarists Bobby Lynge and Daniel Gailey, and drummer Trent Celaya.

The band was formed in Dallas, Texas in 2007 by Jared Easterling, Aaron Decur, Justin Juno, Jared McFerron, Alex Danforth and Jed McNeill. The band had performed locally and regionally and released two EPs in their beginning years. <a href=""https://www.last.fm/music/Fit+for+a+King"">Read more on Last.fm</a>",upcoming_tour,2025-10-30,set(),Counter()
