name,uri,genres,albums,tracks,last_album_date,first_album_date,popularity,followers,playlist_count,spotify_url,image_320,lastfm_listeners,lastfm_playcount,personal_playcount,lastfm_tags,summary,tour_status,tour_date,tour_coperformers,festival_coperformers
motionless in white,spotify:artist:6MwPCCR936cYfM1dLsGVnl,"['metalcore', 'metal', 'screamo']",11,149,2023-09-08,2010-10-12,71,1927412,22,https://open.spotify.com/artist/6MwPCCR936cYfM1dLsGVnl,https://i.scdn.co/image/ab6761610000517458f2b24b02877506d74b612b,750800,47392732,802,"['metalcore', 'post-hardcore', 'screamo', 'hardcore', 'metal']","Motionless in White are an American heavy metal band from Scranton, Pennsylvania, formed in 2004. The current lineup includes lead vocalist Chris Cerulli, guitarists Ryan Sitkowski and Ricky Olson, drummer Vinny Mauro, and bassist Justin Morrow. Cerulli is the only remaining member of the original formation. The band’s name was inspired by the Eighteen Visions song ""Motionless and White.""

The band was initially signed to Fearless Records, under which they released their first three studio albums. <a href=""https://www.last.fm/music/Motionless+in+White"">Read more on Last.fm</a>",upcoming_tour,2025-10-03,"{'dayseeker', 'amira elfeky', 'bring me the horizon', 'make them suffer', 'the plot in you'}","Counter({'knocked loose': 3, 'the plot in you': 3, 'all time low': 3, 'story of the year': 3, 'the red jumpsuit apparatus': 3, 'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'bad omens': 2, 'marilyn manson': 2, 'i prevail': 2, 'three days grace': 2, 'dayseeker': 2, 'exodus': 2, 'black veil brides': 2, 'we came as romans': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'sleep theory': 2, 'left to suffer': 2, 'hollywood undead': 2, 'of mice & men': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'the story so far': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'thornhill': 2, 'letlive': 2, 'blink-182': 2, 'taking back sunday': 2, 'louder than life': 1, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, '$uicideboy$': 1, 'spiritbox': 1, 'cannibal corpse': 1, 'wage war': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack!': 1, 'woe, is me': 1, 'aftershock': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1, 'when we were young': 1, 'panic! at the disco': 1, 'weezer': 1, 'avril lavigne': 1, 'the offspring': 1, 'the used': 1, 'the gaslight anthem': 1, 'bad religion': 1, 'yellowcard': 1, 'ice nine kills': 1, 'simple plan': 1, 'mayday parade': 1, 'loathe': 1, 'asking alexandria': 1, 'boys like girls': 1, 'the cab': 1, 'the maine': 1, 'set your goals': 1, 'sleeping with sirens': 1, 'breathe carolina': 1, ""jack's mannequin"": 1, 'we the kings': 1, 'crown the empire': 1, 'the starting line': 1, 'the amity affliction': 1, ""plain white t's"": 1, 'destroy boys': 1, 'straylight run': 1, 'the summer set': 1, 'holding absence': 1, 'the rocket summer': 1, 'the movielife': 1, 'never shout never': 1, 'alexisonfire': 1, 'don broco': 1, 'taylor acorn': 1, ""arm's length"": 1})"
south arcade,spotify:artist:3vEL65ycUboLH76pgdtqlF,[],0,0,,,59,175712,1,https://open.spotify.com/artist/3vEL65ycUboLH76pgdtqlF,https://i.scdn.co/image/ab67616100005174a3cc22890d77df9674d930e8,134554,2648074,137,"['pop punk', 'rock', 'british', 'alternative rock', 'alternative']","South Arcade is an English alt-pop-rock band based in Oxford. Their line-up consists of Harmony Scott-Russell (Known professionally as Harmony Cavelle) as lead vocalist, Harry Winks as their guitarist, Ollie Green as their bassist, and Cody Jones as their drummer. 

 Their single [song]Danger[/song] has been picked up on Tik Tok and it has now streamed over 6 million times. <a href=""https://www.last.fm/music/South+Arcade"">Read more on Last.fm</a>",upcoming_tour,2025-11-06,set(),"Counter({'bilmuri': 3, 'good neighbours': 3, 'bring me the horizon': 2, 'becky hill': 2, 'enter shikari': 2, 'conan gray': 2, 'wunderhorse': 2, 'balming tiger': 2, 'blanco': 2, 'issey cross': 2, 'lambrini girls': 2, 'pale waves': 2, 'royel otis': 2, 'snow strippers': 2, 'limp bizkit': 2, 'bakar': 2, 'ecca vandal': 2, 'example': 2, 'house of protection': 2, 'jazzy': 2, 'mouth culture': 2, 'origami angel': 2, 'pozer': 2, 'rifle': 2, 'vlure': 2, 'voilà': 2, 'sunday (1994)': 2, 'reading festival': 1, 'nxdia': 1, 'p-rallel': 1, 'in parallel': 1, ""jaackmaate's happy hour live"": 1, 'brittany broski': 1, 'leeds festival': 1, 'austin city limits music festival presented by austin parks foundation': 1, 'sabrina carpenter': 1, 'hozier': 1, 'doja cat': 1, 'luke combs': 1, 'the strokes': 1, 'john summit': 1, 'doechii': 1, 'feid': 1, 'cage the elephant': 1, 't-pain': 1, 'empire of the sun': 1, 'djo': 1, 'pierce the veil': 1, 'rilo kiley': 1, 'mk.gee': 1, 'zeds dead': 1, 'polo & pan': 1, 'role model': 1, 'rainbow kitten surprise': 1, 'wet leg': 1, 'dr. dog': 1, 'king princess': 1, 'japanese breakfast': 1, 'car seat headrest': 1, 'magdalena bay': 1, 'olivia dean': 1, 'marina': 1, 'sam barber': 1, 'dylan gossett': 1, 'gigi perez': 1, 'mj lenderman': 1, 'gregory alan isakov': 1, 'fujii kaze': 1, 'latin mafia': 1, 'disco lines': 1, 'passion pit': 1, 'the dare': 1, 'ocean alley': 1, 'joey valence & brae': 1, 'ca7riel / paco amoroso': 1, 'lp giobbi': 1, 'leisure': 1, 'confidence man': 1, 'panda bear': 1, 'anderson east': 1, 'spacey jane': 1, 'tanner usrey': 1, 'yoke lore': 1, 'la lom': 1, 'lucius': 1, 'royal & the serpent': 1, 'jensen mcrae': 1, 'spill tab': 1, 'flowerovlove': 1, 'vincent lima': 1, 'amble': 1, 'tops': 1, 'alemeda': 1, 'hans williams': 1, 'don west': 1, 'crowe boys': 1, 'julie': 1, 'odeal': 1, 'midnight generation': 1, 'chezile': 1, 'hey, nothing': 1, 'sydney rose': 1, 'aidan bissett': 1, 'johnny stimson': 1, 'fancy hagood': 1, 'the bends': 1, 'teen jesus and the jean teasers': 1, 'skrilla': 1, 'eric slick': 1, 'southall': 1, 'the point.': 1, 'maggie antone': 1, 'girl tones': 1, 'ally salort': 1, 'dizzy fae': 1, ""farmer's wife"": 1, 'alex amen': 1, 'shallowater': 1})"
the callous daoboys,spotify:artist:4ZWRLOs7c4drt9mKGc0Ds0,"['mathcore', 'metalcore', 'post-hardcore']",5,47,2025-05-16,2017-04-01,50,53024,11,https://open.spotify.com/artist/4ZWRLOs7c4drt9mKGc0Ds0,https://i.scdn.co/image/ab676161000051745e8bb3d9afa9377836db9752,69519,2672796,114,"['mathcore', 'metalcore', 'experimental', 'post-hardcore', 'seen live']","The Callous Daoboys is a mathcore band from Atlanta, Georgia. They have released two EPs, ""My Dixie Wrecked"" and ""Animal Tetris,"" a single, ""The Great Multi-Stage Rocket Robbery,"" and a full-length album, ""Die On Mars,"" which was released on June 21, 2019 via Dark Trail Records (CD), Acrobat Unstable (12"" vinyl), and Pattern Recognition Records (cassette). The band performed at Mathcore Index Fest 2018 and MIF2020, were featured in Altpress' list of top 20 rising hardcore bands you need to hear right now <a href=""https://www.last.fm/music/The+Callous+Daoboys"">Read more on Last.fm</a>",upcoming_tour,2025-09-13,"{'unitytx', 'stay here', 'your spirit dies'}",Counter()
softcult,spotify:artist:13pYXGtaLO9d06VrXX4Aw0,"['shoegaze', 'dream pop', 'riot grrrl']",0,0,,,46,96219,1,https://open.spotify.com/artist/13pYXGtaLO9d06VrXX4Aw0,https://i.scdn.co/image/ab67616100005174bcba5685531080343719acb7,200223,2901315,47,"['shoegaze', 'Grunge', 'alternative rock', 'indie rock', 'female vocalists']","Softcult is siblings Mercedes  (guitar/vocals) and Phoenix (drums/vocals/production) Arn-Horn. The band began dropping single tracks in early 2021, and released their first EP, Year Of The Rat, on April 16, 2021.

Citing Bikini Kill as a major influence, the band takes the ethos of the riot grrrl movement and mixes it with shoegaze, grunge, and dreampop influences. Squarely feminist, the music addresses endemic issues of abuse, assault, harassment, misogyny, and social and gender norms as well as mental health. <a href=""https://www.last.fm/music/Softcult"">Read more on Last.fm</a>",on_tour,2025-07-20,"{'whirr', 'wayside', ""she's green"", 'nothing'}",Counter()
pierce the veil,spotify:artist:4iJLPqClelZOBCBifm8Fzv,"['emo', 'screamo', 'post-hardcore']",7,85,2025-05-09,2007,78,3621046,2,https://open.spotify.com/artist/4iJLPqClelZOBCBifm8Fzv,https://i.scdn.co/image/ab676161000051746f8f8d13be17bf486219edc7,1624998,180074439,6,"['post-hardcore', 'emocore', 'emo', 'experimental', 'seen live']","Pierce the Veil was founded by Mike Fuentes and Vic Fuentes in 2006, after the disbandment of Before Today. The brothers continued to write songs together and eventually came up with enough material for a new full-length album. Still backed by their label, Equal Vision Records, they wrote and recorded an entire album on their own in Seattle, WA with Producer Casey Bates. The brothers released the album 'A Flair for the Dramatic' on June 26, 2007 under a new name: Pierce the Veil <a href=""https://www.last.fm/music/Pierce+The+Veil"">Read more on Last.fm</a>",on_tour,2025-07-14,"{'a day to remember', 'crawlers', 'the all-american rejects', 'tonight alive', 'pretty girls make graves', 'l.s. dunes', 'new found glory', 'like roses', 'cavetown', 'basement', 'health', 'dashboard confessional', 'we the kings', 'atreyu', 'millionaires', 'ecca vandal', 'chiodos', 'saosin', 'silverstein', 'hot mulligan', '3oh!3', 'armor for sleep', 'saves the day'}","Counter({'austin city limits music festival presented by austin parks foundation': 1, 'sabrina carpenter': 1, 'hozier': 1, 'doja cat': 1, 'luke combs': 1, 'the strokes': 1, 'john summit': 1, 'doechii': 1, 'feid': 1, 'cage the elephant': 1, 't-pain': 1, 'empire of the sun': 1, 'djo': 1, 'rilo kiley': 1, 'mk.gee': 1, 'zeds dead': 1, 'polo & pan': 1, 'role model': 1, 'rainbow kitten surprise': 1, 'wet leg': 1, 'dr. dog': 1, 'king princess': 1, 'japanese breakfast': 1, 'car seat headrest': 1, 'magdalena bay': 1, 'olivia dean': 1, 'marina': 1, 'sam barber': 1, 'dylan gossett': 1, 'gigi perez': 1, 'mj lenderman': 1, 'gregory alan isakov': 1, 'fujii kaze': 1, 'latin mafia': 1, 'disco lines': 1, 'passion pit': 1, 'the dare': 1, 'ocean alley': 1, 'bilmuri': 1, 'joey valence & brae': 1, 'ca7riel / paco amoroso': 1, 'lp giobbi': 1, 'leisure': 1, 'confidence man': 1, 'panda bear': 1, 'anderson east': 1, 'spacey jane': 1, 'tanner usrey': 1, 'good neighbours': 1, 'yoke lore': 1, 'la lom': 1, 'lucius': 1, 'royal & the serpent': 1, 'jensen mcrae': 1, 'spill tab': 1, 'flowerovlove': 1, 'vincent lima': 1, 'amble': 1, 'tops': 1, 'alemeda': 1, 'hans williams': 1, 'don west': 1, 'crowe boys': 1, 'julie': 1, 'odeal': 1, 'midnight generation': 1, 'chezile': 1, 'hey, nothing': 1, 'sydney rose': 1, 'aidan bissett': 1, 'johnny stimson': 1, 'fancy hagood': 1, 'the bends': 1, 'teen jesus and the jean teasers': 1, 'skrilla': 1, 'eric slick': 1, 'southall': 1, 'the point.': 1, 'maggie antone': 1, 'south arcade': 1, 'girl tones': 1, 'ally salort': 1, 'dizzy fae': 1, ""farmer's wife"": 1, 'alex amen': 1, 'shallowater': 1})"
grandson,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,[],2,24,2023-05-05,2020-12-04,66,1207268,5,https://open.spotify.com/artist/4ZgQDCtRqZlhLswVS6MHN4,https://i.scdn.co/image/ab676161000051741e5c7968999985162cad7042,717409,20961536,62,"['indie rock', 'alternative rock', 'alternative', 'seen live', 'trap']","Grandson is an alternative artist hailing from Toronto, Canada. Born in the small town of Englewood New Jersey, he relocated to the cultural melting pot of Toronto at a young age, and grew up surrounded by music ranging from jazz to rock and roll to rap, dancehall and r&b. He began playing guitar and piano in high school.

At 17, he relocated to Montreal, QC to attend university, and began working in nightclubs cleaning tables and DJing. He started writing music at this time, incorporating the unique blend of sounds he grew up surrounded by. <a href=""https://www.last.fm/music/Grandson"">Read more on Last.fm</a>",upcoming_tour,2025-12-03,{'bob vylan'},Counter()
polyphia,spotify:artist:4vGrte8FDu062Ntj0RsPiZ,"['math rock', 'djent', 'progressive metal', 'progressive rock']",5,61,2023-11-24,2014-09-02,61,1305845,1,https://open.spotify.com/artist/4vGrte8FDu062Ntj0RsPiZ,https://i.scdn.co/image/ab67616100005174d0d5560f6b2ebe39a6d20704,532417,28431705,10,"['Progressive metal', 'instrumental', 'DJENT', 'math metal', 'math rock']","Hailing from the quiet suburbs of Plano, Texas, progressive rock outfit Polyphia are anything but mild-mannered. With a distinctly thought-out and well-orchestrated sound, the quartet pummels out blistering blast beats, and an onslaught of guitar shreds that blends, seamlessly, with melodic grooves and a humble intensity that never wears on the ear. Capitalizing on a ""Standard of Excellence"", the band wishes to inspire those who listen with their doctrine of uncompromised work ethic and self-motivated success. <a href=""https://www.last.fm/music/Polyphia"">Read more on Last.fm</a>",upcoming_tour,2025-08-28,"{'avenged sevenfold', 'system of a down', 'wisp', 'deftones', 'korn'}",Counter()
linkin park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,"['nu metal', 'rap metal', 'rock', 'alternative metal']",27,426,2025-05-16,2010-09-08,92,30597674,14,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,https://i.scdn.co/image/ab67616100005174527d95dabbe8b8b527e8136f,6053531,564122705,253,"['rock', 'Nu Metal', 'alternative rock', 'alternative', 'metal']","Linkin Park are an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",upcoming_tour,2025-08-23,{'jean dawson'},Counter()
a day to remember,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,"['metalcore', 'post-hardcore', 'pop punk', 'screamo', 'emo']",12,167,2025-03-21,2005-05-10,73,2494158,2,https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN,https://i.scdn.co/image/ab676161000051746164f861e5e683c9067f4395,1751560,125441615,7,"['post-hardcore', 'hardcore', 'pop punk', 'screamo', 'emocore']","A Day to Remember is a post-hardcore band from Ocala, Florida, founded in 2003 by guitarist Tom Denney and drummer Bobby Scruggs. They are mainly known for their unusual amalgamation of metalcore and pop punk as a musical style, as well as playing other styles. The band consists of vocalist Jeremy McKinnon, rhythm guitarist and backing vocalist Neil Westfall, bassist Joshua Woodard, percussion and drummer Alex Shelnutt and lead guitarist Kevin Skaff. <a href=""https://www.last.fm/music/A+Day+to+Remember"">Read more on Last.fm</a>",on_tour,2025-07-14,"{'hinder', 'sevendust', 'vertical horizon', 'the all-american rejects', 'lit', 'boundaries', 'basement', 'mammoth', 'dashboard confessional', 'atreyu', 'state champs', 'creed', 'chiodos', '3oh!3', 'armor for sleep', 'saves the day', 'fuel (usa)', 'tonic', 'tonight alive', 'pretty girls make graves', 'l.s. dunes', 'new found glory', 'yellowcard', 'dinosaur pile-up', 'the wonder years', 'nickelback', 'we the kings', 'millionaires', '+live+', 'our lady peace', 'saosin', 'silverstein', 'pierce the veil', 'daughtry'}",Counter()
thornhill,spotify:artist:2dE5audbkV3o5cKxvM7lBD,"['metalcore', 'djent']",5,59,2025-04-04,2019-10-25,57,162722,14,https://open.spotify.com/artist/2dE5audbkV3o5cKxvM7lBD,https://i.scdn.co/image/ab676161000051741b292d70780f166fd776b295,161939,10645176,672,"['metalcore', 'alternative metal', 'Progressive Metalcore', 'australian', 'Progressive metal']","After the band – comprising of Jacob Charlton (vocals), Ethan McCann (guitar), Ben Maida (drums), Nick Sjogren (bass) and Matt Van Duppen (guitar) – graduated from high school, Thornhill played their first show with Hellions. As a collective, they were only three months old at the time, but they grew rapidly from there, finding themselves on triple j rotation and scoring Unearthed Feature Artist in November 2017. <a href=""https://www.last.fm/music/Thornhill"">Read more on Last.fm</a>",upcoming_tour,2025-10-11,"{'ocean grove', 'landmvrks', 'resolve', 'silly goose'}","Counter({'deftones': 2, 'lamb of god': 2, 'a perfect circle': 2, 'mudvayne': 2, 'knocked loose': 2, 'acid bath': 2, 'slaughter to prevail': 2, 'carcass': 2, 'winds of plague': 2, 'static-x': 2, 'dope': 2, 'nonpoint': 2, 'failure': 2, 'quannnic': 2, 'bilmuri': 2, 'memphis may fire': 2, 'rob zombie': 2, 'bad omens': 2, 'marilyn manson': 2, 'three days grace': 2, 'dayseeker': 2, 'motionless in white': 2, 'exodus': 2, 'black veil brides': 2, 'fear factory': 2, 'imminence': 2, 'northlane': 2, 'violent vira': 2, 'return to dust': 2, 'the plot in you': 2, 'sleep theory': 2, 'left to suffer': 2, 'all time low': 2, 'hollywood undead': 2, 'story of the year': 2, 'of mice & men': 2, 'the red jumpsuit apparatus': 2, 'hot milk': 2, 'trivium': 2, 'machine head': 2, 'chimaira': 2, 'august burns red': 2, 'devildriver': 2, 'flyleaf': 2, 'hinder': 2, 'crossfade': 2, 'rev theory': 2, '12 stones': 2, 'dream theater': 2, 'bruce dickinson': 2, 'hatebreed': 2, 'the dillinger escape plan': 2, 'powerwolf': 2, 'kittie': 2, 'testament': 2, 'state champs': 2, 'scowl': 2, 'alestorm': 2, 'demon hunter': 2, 'gloryhammer': 2, 'spineshank': 2, 'snot': 2, 'yngwie malmsteen': 2, 'landmvrks': 2, 'thrown': 2, 'louder than life': 1, 'slayer': 1, 'avenged sevenfold': 1, 'breaking benjamin': 1, 'evanescence': 1, 'down': 1, 'stone temple pilots': 1, 'cavalera': 1, 'insane clown posse': 1, 'municipal waste': 1, 'superheaven': 1, 'escape the fate': 1, 'sleep token': 1, '$uicideboy$': 1, 'spiritbox': 1, 'i prevail': 1, 'cannibal corpse': 1, 'wage war': 1, 'we came as romans': 1, 'the black dahlia murder': 1, 'fulci': 1, 'fleshwater': 1, 'the funeral portrait': 1, 'tech n9ne': 1, 'kublai khan tx': 1, 'brand of sacrifice': 1, 'sanguisugabogg': 1, 'full of hell': 1, 'not enough space': 1, 'magnolia park': 1, 'spiritworld': 1, 'disembodied tyrant': 1, '10 years': 1, 'the story so far': 1, 'cypress hill': 1, 'from ashes to new': 1, 'neck deep': 1, 'drain': 1, 'gideon': 1, 'guilt trip': 1, 'dragonforce': 1, 'liliac': 1, 'stabbing westward': 1, 'the union underground': 1, 'queensryche': 1, 'sebastian bach': 1, 'accept': 1, 'set it off': 1, 'catch your breath': 1, 'colorblind': 1, 'if not for me': 1, 'suicide silence': 1, 'miss may i': 1, 'walls of jericho': 1, 'letlive': 1, 'blessthefall': 1, 'hawthorne heights': 1, 'from first to last': 1, 'attack attack!': 1, 'woe, is me': 1, 'aftershock': 1, 'blink-182': 1, 'korn': 1, 'bring me the horizon': 1, 'good charlotte': 1, 'chiodos': 1, 'turnstile': 1, 'gojira': 1, 'taking back sunday': 1, 'chevelle': 1, 'alkaline trio': 1, 'hoobastank': 1, 'the ataris': 1, 'basement': 1, 'glare': 1, 'saliva': 1, 'the all-american rejects': 1, 'in this moment': 1, 'mom jeans': 1, 'kerry king': 1, 'bowling for soup': 1, 'lacuna coil': 1, 'scary kids scaring kids': 1, 'power trip': 1, 'pop evil': 1, 'high on fire': 1, 'cattle decapitation': 1, 'nails': 1, 'dry kill logic': 1, 'death angel': 1, 'forbidden': 1, 'dying fetus': 1, 'seven hours after violet': 1, 'born of osiris': 1, 'sick puppies': 1, 'trash talk': 1, 'gwar': 1, 'all shall perish': 1, 'speed': 1, 'spite': 1, 'get scared': 1, 'dying wish': 1, 'xibalba': 1, 'snuffed on sight': 1, 'spy': 1, '3 inches of blood': 1, 'six feet under': 1, 'prong': 1})"
