Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6yCysJaY0lFqHnrHvaR4pF,"CONCRETE JUNGLE","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,220495,69,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.552,0.841,1,-5.265,1,0.0402,0.00102,0.00423,0.0697,0.444,91.964,4
spotify:track:4TzGD5Pryq8DTjv5QRuJaW,"Nowhere To Go","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,246774,71,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.419,0.957,7,-3.413,1,0.136,0.000774,0,0.175,0.457,174.094,4
spotify:track:6ERSCeGFBSwvHCvBjwrmwE,"Take Me First","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,199685,65,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.414,0.87,4,-3.908,0,0.0975,0.00118,0.00000926,0.119,0.439,164.249,4
spotify:track:6tRneEcItwpSxBtqgem5Dr,"THE DEATH OF PEACE OF MIND","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,241499,78,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.469,0.713,0,-5.619,0,0.0461,0.0869,0.000188,0.129,0.267,154.994,4
spotify:track:0XL8gRZn7tUoYgq9nLZhjU,"What It Cost","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,103744,61,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.631,0.902,11,-5.706,0,0.081,0.0206,0.0771,0.135,0.39,155.158,4
spotify:track:0xoyUiHhxVH4gwb0CRgNmg,"Like A Villain","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,210685,76,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.456,0.915,7,-4.508,1,0.206,0.000696,0.0000995,0.428,0.403,154.946,4
spotify:track:6nbLpQF1os2DiEW8PDSK1e,"bad decisions","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,261346,64,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.537,0.529,7,-7.741,0,0.0313,0.0849,0.0388,0.118,0.138,90.042,4
spotify:track:1H4Y9uW4N0LsxJUz0VnaPJ,"Just Pretend","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,204676,80,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.457,0.834,5,-4.674,0,0.0817,0.00252,0.00125,0.1,0.201,140.032,4
spotify:track:5oZy9b1lMtREB3cqOPQusD,"The Grey","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,246336,67,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.467,0.915,11,-3.892,0,0.0684,0.000853,0.0000682,0.125,0.51,95.043,4
spotify:track:1Gr0kbo4cgxYmhJa2lZX1a,"Who are you?","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,217349,58,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.59,0.657,9,-7.804,0,0.0401,0.154,0.0363,0.204,0.148,89.995,4
spotify:track:6FghSTlzBr93mtoBzxvz0A,"Somebody else.","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,236730,57,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.636,0.665,1,-5.862,0,0.0775,0.408,0.0295,0.108,0.163,89.969,4
spotify:track:0GRvh5JoEwVel4qDsbqmNb,"IDWT$","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,202952,60,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.541,0.887,5,-5.013,0,0.0845,0.00354,0.000266,0.129,0.538,109.995,4
spotify:track:5vf08i7oQHGPKFAkSxJBcv,"What do you want from me?","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,175845,58,false,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.579,0.887,2,-5.149,1,0.0505,0.00504,0.551,0.0959,0.234,111.989,4
spotify:track:2Qv8xJzenocwXyGlMU5PaC,"ARTIFICIAL SUICIDE","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,195000,69,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.562,0.897,9,-4.79,1,0.195,0.000251,0.000229,0.237,0.283,95.02,4
spotify:track:6zmpNKzUeuldTRYbVZwnrq,"Miracle","THE DEATH OF PEACE OF MIND","Bad Omens",2022-02-25,225000,59,true,bananaslug-10,2024-09-04T15:05:50Z,"metalcore","Sumerian Records",0.518,0.652,5,-6.655,0,0.0579,0.0352,0.0487,0.202,0.246,180.036,3
spotify:track:1SJYdl77lXLeonhgh7oLCj,"Careful What You Wish For","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,272800,47,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.398,0.964,4,-3.738,0,0.175,0.0194,0,0.251,0.116,145.039,4
spotify:track:2ksX5zRjTmSrQYOGT1muDS,"The Hell I Overcame","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,214399,45,true,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.391,0.975,1,-4.291,1,0.106,0.0000264,0,0.0927,0.253,74.999,4
spotify:track:4hC5UUtFEeUKOMekhdepEp,"Dethrone","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,209134,51,true,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.283,0.935,6,-4.56,1,0.142,0.0000159,0.0057,0.073,0.419,111.884,3
spotify:track:1g0ryGOD6nwjko5orc8xyM,"Blood","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,230666,49,true,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.423,0.982,3,-2.965,0,0.152,0.000922,0,0.355,0.42,159.928,4
spotify:track:2JN6kveQqiHcBXlxN7UUpo,"Mercy","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,317000,45,true,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.186,0.985,2,-4.183,1,0.427,0.000212,0,0.0667,0.202,81.607,4
spotify:track:1CMwAFIWUtSi3PCzJJrQHj,"Said & Done","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,204866,45,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.517,0.918,9,-3.763,0,0.0955,0.0039,0,0.0847,0.334,134.977,4
spotify:track:32QCuFXkNIIqtcVUPOAvn9,"Burning Out","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,265400,45,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.451,0.977,5,-3.282,0,0.161,0.00312,0,0.377,0.28,167.933,4
spotify:track:2K1ENoIs1y6M5nFdJhLpvU,"Never Know","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,213851,66,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.381,0.921,4,-4.212,0,0.511,0.00134,0.0000297,0.0814,0.129,151.769,4
spotify:track:1u3OxJiXoYFdA0Fmd9yURC,"Limits","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,207854,70,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.312,0.968,5,-3.316,1,0.418,0.000305,0.0000437,0.113,0.3,103.005,4
spotify:track:4ztGu78QFB9Syh7JcS09XR,"Come Undone","Finding God Before God Finds Me (Deluxe)","Bad Omens",2020-01-17,261398,56,false,bananaslug-10,2024-09-04T15:06:45Z,"metalcore","Sumerian Records",0.492,0.916,8,-4.203,1,0.0446,0.000498,0.00754,0.149,0.42,174.054,4
spotify:track:2WtFbotxC95UD2r1RzE036,"V.A.N","CONCRETE JUNGLE [THE OST]","Bad Omens,Poppy",2024-05-31,274098,68,false,bananaslug-10,2024-09-04T15:09:43Z,"metalcore","Sumerian Records",0.636,0.828,7,-5.321,1,0.071,0.000423,0.206,0.374,0.297,102.52,4
spotify:track:3uPeVmESTdC6w3yoyXY7yo,"EVEN","CONCRETE JUNGLE [THE OST]","Bad Omens",2024-05-31,178235,55,false,bananaslug-10,2024-09-25T15:59:57Z,"metalcore","Sumerian Records",0.688,0.448,6,-10.876,0,0.0368,0.0836,0.00234,0.0696,0.176,95.973,4
spotify:track:7I50EtrBjzjZmHwLj7BeFl,"ANYTHING > HUMAN","CONCRETE JUNGLE [THE OST]","Bad Omens,ERRA",2024-05-31,235092,65,false,bananaslug-10,2024-09-04T15:08:32Z,"metalcore,djent,progressive metal,metal,deathcore,post-hardcore","Sumerian Records",0.465,0.886,7,-4.314,1,0.0903,0.000336,0.00042,0.714,0.409,86.534,4
